Cluster,Position,Updated,Type,Requested,Alternative Name,Unit,Fuel Type,Net MW,Summer MW,Winter MW,County,State,Op Date,Sync Date,W/ D Date,Interconnection Location,Serv,SIS Complete,I39,TO Report,Dev,Zone,FS,SIS,OS,FAC,IA,Project Status
,391,2013-12-17 12:32:42.580,G,2012-02-02,Weston  Station GSU/AVR Replacement U1,HD,WAT,0.00,14.81,14.81,Somerset,ME,2013-12-14,2013-12-14,,CMP 34.5 kV Weston Substation,CNR,True,True,ISO-NE,BL,ME,,Document Posted,,,Executed,In Service
,391,2015-10-09 14:25:40.290,G,2012-02-02,Weston Station AVR Replacement U2-4,HD,WAT,0.00,14.81,14.81,Somerset,ME,2015-07-31,2015-07-30,,CMP 34.5 kV Weston Substation,CNR,True,True,ISO-NE,BL,ME,,,,,Executed,In Service
,392,2012-07-23 00:00:00.000,G,2012-03-28,Wind,WT,WND,2.70,2.70,2.70,Coos,NH,2012-10-29,2012-10-15,2012-07-11,PSNH 12.47 kV,CNR,False,False,,,NH,,,,,,
,393,2015-10-28 13:51:30.523,G,2012-05-07,Wind,WT,WND,84.00,84.00,84.00,Somerset,ME,2016-11-01,2016-10-01,2015-10-28,CMP 115 kV W. S. Wyman Hydro Substation,NR,False,False,,PD,ME,Document Posted,,,,,
,394,2013-12-23 10:11:45.673,G,2012-07-25,Bridgeport Fuel Cell I,FC,NG,5.60,5.60,5.60,Fairfield,CT,2013-12-22,2013-11-24,,UI 13.8 kV Ash Creek substation,,True,True,UI,,SWCT,,Document Posted,,,Executed,In Service
,394,2013-12-23 10:12:25.000,G,2012-07-25,Bridgeport Fuel Cell 2,FC,NG,5.60,5.60,5.60,Fairfield,CT,2013-12-22,2013-11-24,,UI 13.8 kV New Congress I substation,,True,True,UI,,SWCT,,,,,Executed,In Service
,394,2013-12-23 10:13:01.393,G,2012-07-25,Bridgeport Fuel Cell 3,FC,NG,4.15,4.15,4.15,Fairfield,CT,2013-12-22,2013-11-24,,UI 13.8 kV New Congress II Substation,,True,True,UI,,SWCT,,,,,Executed,In Service
,395,2012-10-24 00:00:00.000,G,2012-07-30,Solar,PV,SUN,2.18,2.18,2.18,Windham,VT,2013-06-01,2013-05-15,2012-10-24,CVPS 46 kV,CNR,False,False,,,VT,,,,,,
,396,2020-01-07 13:43:09.434,G,2012-08-28,Berkshire Wind Increase,WT,WND,4.60,19.60,19.60,Berkshire,MA,2019-11-19,2019-09-25,,WMECO 23 kV from Partridge substation,NR,True,False,NU,BL,WMA,,Document Posted,,,Executed,Under Construction
,397,2016-12-14 15:46:36.747,G,2012-08-30,Hancock Wind Project,WT,WND,51.00,51.00,51.00,Hancock,ME,2016-12-14,2016-10-01,,BHE Line 66 - Bull Hill substation,NR,True,True,ISO-NE,PD,BHE,,Document Posted,,,Executed,In Service
,398,2013-11-15 16:34:43.113,G,2012-09-04,Dighton Power Uprate,CC,NG,5.00,180.00,197.00,Bristol,MA,2013-12-05,2013-12-05,,GRID 115 kV U6 Line,CNR,True,True,ISO-NE,CD,SEMA,,Document Posted,,,Executed,In Service
,399,2013-02-27 00:00:00.000,G,2012-10-01,Wind Increase,WT,WND,1.20,34.20,34.20,Franklin,ME,2014-08-15,2014-06-02,2013-02-27,CMP Ludden Lane Substation,CNR,False,False,,,ME,,,,,,
,400,2018-04-19 13:21:48.760,G,2012-10-03,Downeast Wind,WT,WND,90.00,90.00,90.00,Washington,ME,2019-10-03,2019-07-18,2018-04-19,BHE Epping Substation,NR,True,True,ISO-NE,PD,BHE,Document Posted,Document Posted,,,Executed,
,401,2014-12-11 13:49:46.000,G,2012-10-05,Wind,WT,WND,19.80,19.80,19.80,Washington,ME,2014-12-31,2014-11-30,2014-08-14,BHE Epping 115 kV substation or BHE 34.5 kV,CNR,False,False,,PD,BHE,In Progress,,,,,Under Study
,402,2014-01-17 14:03:04.737,G,2012-10-16,Mechanicsville Hydro Increase,HD,WAT,0.31,0.31,0.31,Windham,CT,2013-03-01,2013-03-01,,CL&amp;P 23 kV at Mechanicsville,CNR,False,False,,,CT,,,,,Executed,
,403,2016-12-16 13:15:00.770,G,2012-12-06,Pisgah Mountain Increase (see Q349),WT,WND,0.08,9.07,9.07,Penobscot,ME,2016-12-16,2016-11-01,,BHE Line 66,NR,False,False,,,BHE,,,,,Executed,In Service
,404,2017-06-30 10:37:28.808,G,2013-01-08,MATEP -3rd CTG,GT,DFO NG,14.15,100.00,105.60,Suffolk,MA,2017-06-28,2016-12-01,,NSTAR Brighton substation,CNR,True,True,ISO-NE,BL,BOST,,Document Posted,,,Executed,In Service
,405,2016-12-09 11:05:19.337,G,2013-01-18,Block Island Wind Farm,WT,WND,29.00,29.00,29.00,Washington,RI,2016-12-09,2016-11-04,,Grid 34.5 kV,,True,True,NGRID,,RI,,,,,,In Service
,406,2017-11-29 08:43:03.170,G,2013-02-22,Canton Increase and CNR (see Q300),WT,WND,3.55,22.80,22.80,Oxford,ME,2017-11-29,2017-10-18,,CMP Ludden Lane Substation,NR,False,False,,,ME,,,,,Executed,In Service
,407,2015-09-16 16:49:58.017,G,2013-02-27,Saddleback Increase and CNR (see Q287),WT,WND,1.20,34.20,34.20,Franklin,ME,2015-09-15,2015-08-15,,CMP Ludden Lane Substation,CNR,False,False,,,ME,,,,,Executed,In Service
,408,2016-03-23 15:12:10.297,G,2013-02-28,Gas Turbine,GT,DFO NG,207.70,207.70,204.40,Middlesex,MA,2018-05-31,2018-02-01,2016-03-17,NSTAR 345 kV Mystic Station,NR,True,False,,PD,BOST,,Document Posted,,,,
,409,2015-03-02 11:49:08.877,G,2013-02-28,Gas Turbine,GT,DFO NG,207.70,207.70,204.40,Norfolk,MA,2018-05-31,2018-02-01,2015-03-02,NSTAR 230 kV W. Medway Station,CNR,False,False,,BL,BOST,,In Progress,,,,Under Study
,410,2014-09-02 10:55:09.083,G,2013-02-28,Wind CNR,WT,WND,0.00,48.00,48.00,Peneobscot/Washington,ME,2016-08-01,2016-06-01,2014-08-25,BHE Keene Rd,CNR,False,False,,,BHE,,,,,In Progress,
,411,2014-07-16 16:11:57.900,G,2013-02-28,Gas Turbine Increase,GT,DFO NG,10.90,39.40,45.80,Essex,MA,2013-12-31,2013-12-31,,Peabody B-154S line,,False,True,,,BOST,,,,,,In Service
,412,2019-06-10 07:58:17.317,G,2013-02-28,PSEG Bridgeport Harbor CCGT Expansion,CC,DFO NG,509.60,509.60,532.60,Fairfield,CT,2019-06-10,2019-05-11,,UI 345 kV Singer,CNR,True,True,ISO-NE,BL,SWCT,Document Posted,Document Posted,,,Executed,In Service
,413,2015-02-17 08:21:24.217,ETU,2013-03-04,Keene Rd ETU,,,,0.00,0.00,Penobscot,ME,2016-03-01,2015-11-01,2015-02-16,BHE Keene Road Substation,,False,False,,,BHE,,In Progress,,,,Under Study
,414,2014-06-24 08:27:27.120,G,2013-03-26,EP Newington Energy Capacity Increase,CC,NG,21.20,568.20,594.80,Rockingham,NH,2014-06-17,2014-05-31,,PSNH Newington 345 kV substation,CNR,True,True,ISO-NE,BL,NH,,Document Posted,,,Executed,In Service
,415,2016-01-25 11:19:18.260,G,2013-04-12,Jericho Wind,WT,WND,8.55,8.55,8.55,Coos,NH,2016-01-23,2015-10-16,,PSNH Berlin Substation,CNR,True,True,ISO-NE,BL,NH,,Document Posted,,,Executed,In Service
,416,2013-11-12 13:49:12.560,G,2013-04-23,Wind,WT,WND,18.00,18.00,18.00,Coos,NH,2017-04-30,2017-04-12,2013-07-17,Pontook Hydro,CNR,False,False,,,NH,,,,,,
,417,2019-05-14 10:56:32.774,G,2013-04-25,Number Nine Wind Farm,WT,WND,250.00,250.00,250.00,Aroostook,ME,2021-10-31,2021-04-05,2019-05-13,Pittsfield 345KV,NR,True,True,ISO-NE,PD,BHE,,Document Posted,,,Executed,
,418,2014-02-14 16:35:33.880,G,2013-05-01,Biomass,ST,DFO WDS,37.00,37.00,37.00,Windsor,VT,2015-08-30,2015-06-30,2014-02-14,GMP L97 Line,CNR,False,False,,BL,VT,,In Progress,,,,Under Study
