Generation Interconnection Number,IFS Queue Number,Current Cluster,Cluster Group, Nearest Town or County,State,TO at POI,In-Service Date,Commercial Operation Date,Cessation Date,Original Generator Commercial Op Date,Capacity,MAX Summer MW,MAX Winter MW,Service Type,Requested Maximum Injection Capability (MW),Requested Network Resource Deliverability (MW),Nameplate Capacity,Generation Type,Fuel Type,Substation or Line,Request Received,Date Withdrawn,Status,JTIQ Participant,JTIQ Commitment,Cause of Delay
GI-TC-2024-02,,RTOE Transitional Cluster,,Lincoln County,CO,TSGT,8/2/2030,6/30/2028,,,150.00,150.00,150.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Lincoln 230 Substation,4/25/2024,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-01,,RTOE Transitional Cluster,,Lincoln County,CO,TSGT,8/2/2030,6/30/2027,,,150.00,150.00,150.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Lincoln 230 Substation,4/25/2024,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2021-07,,RTOE Transitional Cluster,,Delta County,CO,TSGT,5/1/2024,,,,80.00,80.00,80.00,ER/NR,0.00,0.00,0.00,Solar,Photovoltaic,Garnet Mesa 115 Substation,3/15/2021,,IA FULLY EXECUTED/ON SCHEDULE,,,
GI-TC-2021-06,,RTOE Transitional Cluster,,Logan County,CO,TSGT,10/29/2021,,,,200.00,200.00,200.00,ER/NR,0.00,0.00,0.00,Wind,Wind,North Yuma 230 Substation,3/15/2021,,IA FULLY EXECUTED/ON SCHEDULE,,,
GI-TC-2021-03,,RTOE Transitional Cluster,,Dolores County,CO,TSGT,6/14/2024,,,,110.00,110.00,110.00,ER/NR,0.00,0.00,0.00,Solar,Photovoltaic,Cahone 115 Substation,3/15/2021,,IA FULLY EXECUTED/ON SCHEDULE,,,
GI-TC-2021-01,,RTOE Transitional Cluster,,Moffat & Rio Blanco Counties,CO,TSGT,6/30/2024,,,,145.00,145.00,145.00,ER/NR,0.00,0.00,0.00,Solar,Photovoltaic,Milk Creek 345Switching Station,3/15/2021,,IA FULLY EXECUTED/ON SCHEDULE,,,
GI-SISS-2026-04,,RTOE Transitional Cluster,,"Kit Carson County,",CO,TSGT,1/3/2028,6/1/2028,,,150.00,150.00,150.00,ER,0.00,0.00,0.00,Battery/Storage,,"Looff 230 Substation (Burlington
Expansion)",2/9/2026,,DISIS STAGE,,,
GI-SISS-2026-03,,RTOE Transitional Cluster,,"Kit Carson County,",CO,TSGT,1/3/2028,6/1/2028,,,150.00,150.00,150.00,ER,0.00,0.00,0.00,Battery/Storage,,"Looff 230 Substation (Burlington
Expansion)",2/9/2026,,DISIS STAGE,,,
GI-SISS-2025-06,,RTOE Transitional Cluster,,Logan County,CO,TSGT,,9/30/2027,,,200.00,200.00,200.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,North Yuma 230 Substation,10/2/2025,,,,,
GI-SISS-2025-05,,RTOE Transitional Cluster,,Kit Carson County,CO,TSGT,,9/30/2027,,,150.00,150.00,150.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,Burlington 230 Substation,8/8/2025,,,,,
GI-SISS-2025-04,,RTOE Transitional Cluster,,Kit Carson County,CO,TSGT,9/30/2027,,,,79.00,79.00,79.00,ER,0.00,0.00,0.00,Battery/Storage,,South Fork 115 Substation,7/25/2025,,DISIS STAGE,,,
GI-RSC-2025-03,,RTOE Transitional Cluster,,Montrose County,CO,TSGT,,11/30/2027,,,50.00,50.00,50.00,ER,0.00,0.00,0.00,Battery/Storage,,Montrose 115 Sub,7/18/2025,,,,,
GI-RSC-2025-02,,RTOE Transitional Cluster,,Moffat County,CO,TSGT,,9/1/2029,,,200.00,200.00,200.00,ER,0.00,0.00,0.00,Battery/Storage,,Craig 230 Sub,7/18/2025,,,,,GIA delayed due to  Affected Systems Study
GI-DISIS-2022-44,,RTOE Transitional Cluster,,Moffat County,CO,TSGT,6/25/2030,,,,199.00,199.00,199.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Craig 345 Substation,5/31/2022,,IA FULLY EXECUTED/ON SUSPENSION,,,
GI-DISIS-2022-41,,RTOE Transitional Cluster,,Kit Carson County,CO,TSGT,12/30/2028,,,,49.60,49.60,49.60,ER,0.00,0.00,0.00,Wind,Wind,Bonny Creek 115 Substation,5/31/2022,,IA FULLY EXECUTED/ON SUSPENSION,,,
GI-DISIS-2022-29,,RTOE Transitional Cluster,,Lincoln County,CO,TSGT,3/16/2029,,,,199.90,199.90,199.90,ER/NR,0.00,0.00,0.00,Wind,Wind,Duck Creek 230 Switching Station,5/31/2022,,IA FULLY EXECUTED/ON SCHEDULE,,,
GI-DISIS-2022-28,,RTOE Transitional Cluster,,Kit Carson County,CO,TSGT,12/31/2029,,,,199.00,199.00,199.00,ER,0.00,0.00,0.00,Hybrid,Solar/Storage,Many Trails 230 Switching Station,5/31/2022,,IA FULLY EXECUTED/ON SUSPENSION,,,
GI-DISIS-2022-22,,RTOE Transitional Cluster,,Kit Carson County,CO,TSGT,10/1/2028,,,,90.00,30.00,30.00,ER,0.00,0.00,0.00,Hybrid,Solar/Storage,Devils Switch 115 Switching Station,5/27/2022,,IA FULLY EXECUTED/ON SCHEDULE,,,
GI-DISIS-2022-17,,RTOE Transitional Cluster,,Kiowa County/Prowers County,CO,TSGT,5/1/2030,,,,199.00,199.00,199.00,ER,0.00,0.00,0.00,Wind,Wind,Towner 230 Switching Station,5/27/2022,,IA FULLY EXECUTED/ON SUSPENSION,,,
GI-DISIS-2022-07,,RTOE Transitional Cluster,,Weld County,CO,TSGT,2/27/2029,,,,199.00,199.00,199.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,"West Sand Creek 230 Switching
Station",5/24/2022,,IA FULLY EXECUTED/ON SCHEDULE,,,
GI-DISIS-2022-04,,RTOE Transitional Cluster,,Kit Carson County,CO,TSGT,6/29/2027,,,,158.00,158.00,158.00,ER,0.00,0.00,0.00,Hybrid,Solar/Storage,South Fork 115 Substation,5/9/2022,,IA FULLY EXECUTED/ON SCHEDULE,,,
GI-DISIS-2022-02,,RTOE Transitional Cluster,,Weld County,CO,TSGT,4/1/2030,,,,199.00,199.00,199.00,ER,0.00,0.00,0.00,Hybrid,Solar/Storage,Keota 345 Substation,5/5/2022,,IA FULLY EXECUTED/ON SCHEDULE,,,
GI-DISIS-2021-10,,RTOE Transitional Cluster,,Converse County,WY,TSGT,9/5/2027,1/5/2028,,,199.00,199.00,199.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Hunton Creek 230 Switching Station,5/28/2021,,IA FULLY EXECUTED/ON SUSPENSION,,,
GI-CS-2025-29,,RTOE Transitional Cluster,,"Yuma County,",CO,TSGT,,8/1/2031,,,300.00,300.00,300.00,ER,0.00,0.00,0.00,Hybrid,Solar/Wind/Storage,Burlington - Wray 230 Line,10/6/2025,,DISIS STAGE,,,
GI-CS-2025-27,,RTOE Transitional Cluster,,"Delta County,",CO,TSGT,,4/1/2029,,,199.00,199.00,199.00,ER/NR,0.00,0.00,0.00,Thermal,Gas,Starr Nelson 115 Substation,10/3/2025,,DISIS STAGE,,,
GI-CS-2025-26,,RTOE Transitional Cluster,,"Kit Carson County,",CO,TSGT,,6/30/2029,,,199.00,199.00,199.00,ER,0.00,0.00,0.00,Wind,Wind,Windtalker 230 Substation,10/2/2025,,DISIS STAGE,,,
GI-CS-2025-25,,RTOE Transitional Cluster,,"Platte County,",WY,TSGT,,12/1/2030,,,800.00,800.00,800.00,ER,0.00,0.00,0.00,Hybrid,Solar/Storage,Laramie River 345 Substation,10/2/2025,,DISIS STAGE,,,
GI-CS-2025-24,,RTOE Transitional Cluster,,"Kit Carson County,",CO,TSGT,,12/1/2029,,,225.00,225.00,225.00,ER/NR,0.00,0.00,0.00,Wind,Wind,Big Sandy - Windtalker 230 Line,9/29/2025,,DISIS STAGE,,,
GI-CS-2025-20,,RTOE Transitional Cluster,,"Morgan County,",CO,TSGT,,12/1/2029,,,199.90,199.90,199.90,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Story 230 Substation,9/29/2025,,DISIS STAGE,,,
GI-CS-2025-19,,RTOE Transitional Cluster,,"Morgan County,",CO,TSGT,,12/1/2029,,,199.90,199.90,199.90,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Story 230 Substation,9/29/2025,,DISIS STAGE,,,
GI-CS-2025-17,,RTOE Transitional Cluster,,"Moffat County,",CO,TSGT,,6/1/2029,,,199.50,199.50,199.50,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Craig - Meeker 345 Line,9/26/2025,,DISIS STAGE,,,
GI-CS-2025-16,,RTOE Transitional Cluster,,"Weld County,",CO,TSGT,,6/1/2029,,,150.00,150.00,150.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Henry Lake - Badger Creek 230 Line,9/26/2025,,DISIS STAGE,,,
GI-CS-2025-11,,RTOE Transitional Cluster,,"Lincoln County,",CO,TSGT,,12/1/2028,,,199.00,199.00,199.00,ER,0.00,0.00,0.00,Wind,Wind,Big Sandy 230 Substation,9/19/2025,,DISIS STAGE,,,
GI-CS-2025-08,,RTOE Transitional Cluster,,"Kit Carson,",CO,TSGT,,12/1/2029,,,199.00,199.00,199.00,ER,0.00,0.00,0.00,Wind,Wind,Looff 230 Substation (Burlington Expansion),9/18/2025,,DISIS STAGE,,,
GI-CS-2025-07,,RTOE Transitional Cluster,,"Kit Carson,",CO,TSGT,,12/1/2029,,,199.00,199.00,199.00,ER,0.00,0.00,0.00,Wind,Wind,Looff 230 Substation (Burlington Expansion),9/18/2025,,DISIS STAGE,,,
GI-CS-2025-05,,RTOE Transitional Cluster,,"Weld County,",CO,TSGT,,12/1/2029,,,300.00,300.00,300.00,ER,0.00,0.00,0.00,Solar,Photovoltaic,Redtail 115 Substation,9/18/2025,,DISIS STAGE,,,
GI-CS-2025-04,,RTOE Transitional Cluster,,"Laramie County,",WY,TSGT,,11/30/2029,,,330.00,330.00,330.00,ER/NR,0.00,0.00,0.00,Hybrid,Wind/Storage,Ault LRS 345 Line,9/17/2025,,DISIS STAGE,,,
GI-CS-2025-03,,RTOE Transitional Cluster,,"Kit Carson,",CO,TSGT,,4/1/2028,,,300.00,300.00,300.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,230 Windtalker Switching Station,9/16/2025,,DISIS STAGE,,,
GI-CS-2025-02,,RTOE Transitional Cluster,,"Adams County,",CO,TSGT,,6/1/2031,,,199.00,199.00,199.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,230 West Sand Creek Switching Station,9/11/2025,,DISIS STAGE,,,
GEN-2026-SR9,,Surplus,03 CENTRAL,Wright,KS,ITCGP,,12/1/2027,,,252.00,252.00,252.00,ER,0.00,0.00,0.00,Battery/Storage,,Spearville to Clark County 345 kV line,12/18/2025,,SPECIAL STUDY,,,
GEN-2026-SR8,,Surplus,04 SOUTHEAST,Elgin,OK,AEP,,11/30/2028,,,500.00,500.00,500.00,NR,0.00,0.00,0.00,Battery/Storage,,Cimmarron to Lawton 345 kV Line,2/5/2026,,SPECIAL STUDY,,,
GEN-2026-SR7,,Surplus,01 NORTH,South Heart,ND,BEPC,,12/31/2028,,,150.00,150.00,150.00,ER,0.00,0.00,0.00,Battery/Storage,,Daglum 230kV Switching Station,1/21/2026,,SPECIAL STUDY,,,
GEN-2026-SR6,,Surplus,01 NORTH,South Heart,ND,BEPC,,12/31/2028,,,150.00,150.00,150.00,ER,0.00,0.00,0.00,Battery/Storage,,Brady 230kV substation,1/22/2026,,SPECIAL STUDY,,,
GEN-2026-SR5,,Surplus,03 CENTRAL,Wellington,KS,WERE,,12/1/2027,,,200.00,200.00,200.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,Sumner 138kV,1/20/2026,,SPECIAL STUDY,,,
GEN-2026-SR4,,Surplus,04 SOUTHEAST,Oktaha,OK,OG&E,,12/31/2027,,,400.00,400.00,400.00,ER,0.00,0.00,0.00,Battery/Storage,,Canadian River-Muskogee and Muskogee-Seminole 345kV,11/17/2025,,SPECIAL STUDY,,,
GEN-2026-SR3,,Surplus,04 SOUTHEAST,Sayre,OK,AEP,,5/14/2027,,,100.00,100.00,100.00,ER,0.00,0.00,0.00,Battery/Storage,,Sweetwater 230kV,1/14/2026,,SPECIAL STUDY,,,
