Generation Interconnection Number,IFS Queue Number,Current Cluster,Cluster Group, Nearest Town or County,State,TO at POI,In-Service Date,Commercial Operation Date,Cessation Date,Original Generator Commercial Op Date,Capacity,MAX Summer MW,MAX Winter MW,Service Type,Requested Maximum Injection Capability (MW),Requested Network Resource Deliverability (MW),Nameplate Capacity,Generation Type,Fuel Type,Substation or Line,Request Received,Date Withdrawn,Status,JTIQ Participant,JTIQ Commitment,Cause of Delay
GEN-2019-044,,DISIS-2019-001,03 CENTRAL,Ford,KS,SUNC,12/31/2023,6/15/2030,,,100.00,100.00,100.00,ER,0.00,0.00,0.00,Solar,,North Fort Dodge 115kV Substation,5/24/2019,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2019-041,,DISIS-2019-001,02 NEBRASKA,Lancaster,NE,NPPD,12/1/2020,12/31/2028,,,78.00,78.00,78.00,ER/NR,0.00,0.00,0.00,Solar,,115kV Monolith Substation,5/23/2019,,IA FULLY EXECUTED/ON SUSPENSION,,,
GEN-2019-039,,DISIS-2019-001,02 NEBRASKA,Butler,NE,NPPD,5/16/2022,12/31/2027,,,174.50,174.50,174.50,ER/NR,0.00,0.00,0.00,Solar,,Columbus Southeast-Rising City 115kV,5/21/2019,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2019-037,,DISIS-2019-001,01 NORTH,Mercer,ND,BEPC,12/1/2023,11/19/2030,,,150.00,150.00,150.00,ER/NR,0.00,0.00,0.00,Solar,,Leland Olds 345kV substation,5/17/2019,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2019-030,,DISIS-2019-001,03 CENTRAL,Ford,KS,ITCGP,12/1/2021,4/5/2027,,,252.00,252.00,252.00,ER/NR,0.00,0.00,0.00,Wind,,Spearville to Clark County 345 kV line,4/25/2019,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2019-021,,DISIS-2019-001,05 SOUTHWEST,Roosevelt,NM,SPS,12/1/2022,11/1/2027,,,50.00,50.00,50.00,ER/NR,0.00,0.00,0.00,Solar,,Roosevelt 230kV Substation,4/29/2019,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2019-019,,DISIS-2019-001,01 NORTH,Sioux,IA,NIPCO,2/1/2020,3/1/2022,,,15.15,15.15,15.15,ER/NR,0.00,0.00,0.00,Thermal,Gas Turbine,Siouxland 69kV,4/24/2019,,IA FULLY EXECUTED/COMMERCIAL OPERATION,,, 
GEN-2019-018,,DISIS-2019-001,03 CENTRAL,Rice,KS,MIDW,3/1/2020,6/10/2021,,,15.56,11.97,15.56,ER/NR,0.00,0.00,0.00,Thermal,Gas Turbine,Saxman 115kV substation,4/24/2019,,IA FULLY EXECUTED/COMMERCIAL OPERATION,,,
GEN-2019-016,,DISIS-2019-001,03 CENTRAL,Polk and Dade,MO,EDE,11/30/2022,12/31/2029,,,200.00,200.00,200.00,ER,0.00,0.00,0.00,Solar,,Dadeville 161kV Substation ,4/30/2019,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2019-011,,DISIS-2019-001,05 SOUTHWEST,Yoakum,TX,SPS,5/1/2023,6/1/2028,,,207.00,207.00,207.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,Yoakum 345kV Substation,4/22/2019,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2019-003,,DISIS-2019-001,05 SOUTHWEST,Roosevelt,NM,SPS,12/1/2022,11/1/2027,,,150.00,150.00,150.00,ER/NR,0.00,0.00,0.00,Solar,,Roosevelt 230kV Substation,4/19/2019,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2019-002,,DISIS-2019-001,04 SOUTHEAST,Mayes,OK,GRDA,12/1/2020,11/30/2027,,,100.00,100.00,100.00,ER,0.00,0.00,0.00,Battery/Storage,,Maid 161kV substation,11/26/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2019-001,,DISIS-2019-001,03 CENTRAL,Pratt,KS,WERE,12/31/2018,6/2/2025,,,25.00,25.00,25.00,ER,0.00,0.00,0.00,Wind,,Thistle-Wichita Dbl Ckt (Buffalo Flats) 345kV,11/27/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-132,,DISIS-2018-002,02 NEBRASKA,Pierce,NE,NPPD,12/31/2020,12/31/2026,,,201.60,201.60,201.60,ER/NR,0.00,0.00,0.00,Solar,,Antelope - Hoskins 345 kV,11/21/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-131,,DISIS-2018-002,02 NEBRASKA,Pierce,NE,NPPD,12/31/2020,12/1/2031,,,221.40,221.40,221.40,ER/NR,0.00,0.00,0.00,Solar,,Antelope - Hoskins 345 kV,11/21/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-128,,DISIS-2018-002,03 CENTRAL,Sumner,KS,WERE,9/1/2021,6/15/2030,,,200.22,200.22,200.22,ER/NR,0.00,0.00,0.00,Wind,,Renfrow-Viola 345 kV,11/19/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-125,,DISIS-2018-002,02 NEBRASKA,Lincoln,NE,NPPD,12/15/2022,2/28/2031,,,231.00,231.00,231.00,ER/NR,0.00,0.00,0.00,Wind,,New switching station on Gentleman to Sweetwater 345kV line,11/19/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-115,,DISIS-2018-002,04 SOUTHEAST,Lawton,OK,AEP,12/1/2021,3/9/2029,,,250.00,250.00,250.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Lawton East Side 345kV/138kv Substation,11/21/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-108,,DISIS-2018-002,03 CENTRAL,Barber,KS,ITCGP,12/31/2027,12/1/2028,,,95.00,95.00,95.00,ER,0.00,0.00,0.00,Battery/Storage,,Thistle 345kV substation,11/21/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-106,,DISIS-2018-002,04 SOUTHEAST,Caddo,LA,AEP,12/31/2023,4/15/2028,,,165.00,165.00,165.00,ER,0.00,0.00,0.00,Solar,,Longwood 345kV substation,11/2/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-099,,DISIS-2018-002,05 SOUTHWEST,Parmer,TX,SPS,12/31/2023,12/31/2027,,,300.00,300.00,300.00,ER,0.00,0.00,0.00,Wind,,Tolk 230kV Substation,11/21/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-089,,DISIS-2018-002,05 SOUTHWEST,Castro,TX,SPS,12/31/2023,3/1/2028,,,196.00,196.00,196.00,ER,0.00,0.00,0.00,Wind,,Newhart 230kV Substation,11/21/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-082,,DISIS-2018-002,04 SOUTHEAST,Pittsburg,OK,AEP,12/31/2023,12/31/2030,,,215.00,215.00,215.00,ER,0.00,0.00,0.00,Wind,,Pittsburg 345kV Substation,11/18/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-079,,DISIS-2018-002,04 SOUTHEAST,Craig/Novata,OK,AEP,12/31/2023,12/31/2029,,,148.00,148.00,148.00,ER,0.00,0.00,0.00,Solar,,Farmland-Delaware 138kV line,11/18/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-074,,DISIS-2018-002,01 NORTH,Crawford and Carrol ,IA,WAPA,5/10/2022,10/31/2028,,,72.00,72.00,72.00,ER,0.00,0.00,0.00,Wind,,Denison 230kV Substation,10/31/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-072,,DISIS-2018-002,04 SOUTHEAST,Kay,OK,OGE,11/30/2021,12/31/2027,,,151.00,151.00,151.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,Interconnecting into OG&E's Ranch Road 345kV substation by tapping a 0.1 gen tie line into the existing Frontier II gen-tie line,10/26/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-071,,DISIS-2018-002,04 SOUTHEAST,Kay,OK,OGE,11/30/2021,12/31/2027,,,151.00,151.00,151.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,Interconnecting into OG&E's Ranch Road 345kV substation by tapping a 0.1 gen tie line into the existing Frontier II gen-tie line,10/25/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-067,,DISIS-2018-002,01 NORTH,Williams,ND,MWEC,10/30/2020,5/31/2028,,,255.00,255.00,255.00,ER,0.00,0.00,0.00,Wind,,115kV Strandahl sub ,10/25/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-064,,DISIS-2018-002,04 SOUTHEAST,Benton County,AR,GRDA,6/30/2021,7/11/2027,,,80.00,80.00,80.00,ER/NR,0.00,0.00,0.00,Solar,,Tonnece Substation 69kV,10/24/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-057,,DISIS-2018-001,03 CENTRAL,Sedgwick,KS,WERE,5/15/2029,5/15/2030,,,203.40,203.40,203.40,ER/NR,0.00,0.00,0.00,Solar,,Gordon Evans 138kV,5/29/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-055,,DISIS-2018-001,04 SOUTHEAST,Grady,OK,AEP,12/31/2020,12/31/2026,,,252.00,252.00,252.00,ER/NR,0.00,0.00,0.00,Solar,,Terry Road 345kV station (shared with Rush Springs Windfarm on a common gentie) ,5/29/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-052,,DISIS-2018-001,05 SOUTHWEST,Lea,NM,SPS,12/31/2021,12/31/2027,,,70.00,70.00,70.00,ER,0.00,0.00,0.00,Battery/Storage,,Roadrunner 115kV Substation,5/29/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-050,,DISIS-2018-001,04 SOUTHEAST,Caddo,LA,AEP,12/31/2021,4/15/2028,,,200.00,200.00,200.00,ER,0.00,0.00,0.00,Solar,,Longwood 345kV Substation,5/29/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-049,,DISIS-2018-001,03 CENTRAL,Sumner,KS,ITCGP,12/31/2021,4/1/2027,,,120.00,120.00,120.00,ER,0.00,0.00,0.00,Solar,,Thistle 345kV Substation,5/29/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-048,,DISIS-2018-001,04 SOUTHEAST,Caddo,OK,OGE,12/31/2021,6/15/2028,,,300.00,300.00,300.00,ER,0.00,0.00,0.00,Solar,,Pecan Creek 345kV Substation,5/29/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-043,,DISIS-2018-001,02 NEBRASKA,Burt,NE,OPPD,12/31/2021,11/15/2029,,,500.00,500.00,500.00,ER,0.00,0.00,0.00,Solar,,Ft. Calhoun - Raun  345 kV Line Break,5/29/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-037,,DISIS-2018-001,02 NEBRASKA,Douglas,NE,OPPD,12/31/2024,5/31/2030,,,100.00,100.00,100.00,ER,0.00,0.00,0.00,Battery/Storage,,Looping in OPPD (S1211) (S1220) (S1211) (S1299) 161kV,5/29/2018,,IA FULLY EXECUTED/ON SUSPENSION,,,
GEN-2018-033,,DISIS-2018-001,02 NEBRASKA,Cass,NE,OPPD,12/31/2023,11/30/2029,,,200.00,200.00,200.00,ER,0.00,0.00,0.00,Battery/Storage,,Cass County 345kV Substation,5/29/2018,,IA FULLY EXECUTED/ON SUSPENSION,,,
GEN-2018-031,,DISIS-2018-001,03 CENTRAL,Jackson,MO,INDN,12/31/2024,5/31/2028,,,50.00,50.00,50.00,ER,0.00,0.00,0.00,Battery/Storage,,Blue Valley 161kV Substation,5/29/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-029,,DISIS-2018-001,04 SOUTHEAST,Oklahoma,OK,OGE,10/15/2023,5/31/2028,,,100.00,100.00,100.00,ER,0.00,0.00,0.00,Battery/Storage,,Horseshoe Lake 138kV Substation,5/29/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-028,,DISIS-2018-001,04 SOUTHEAST,Tulsa,OK,AEP,10/15/2023,11/30/2028,,,200.00,200.00,200.00,ER,0.00,0.00,0.00,Battery/Storage,,Tulsa North 138kV Substation,5/29/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-027,,DISIS-2018-001,04 SOUTHEAST,Tulsa,OK,AEP,12/31/2024,5/31/2028,,,100.00,100.00,100.00,ER,0.00,0.00,0.00,Battery/Storage,,Tulsa Power Station 138kV Substation,5/29/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-026,,DISIS-2018-001,04 SOUTHEAST,Canadian,OK,OGE,10/15/2023,5/31/2026,,,100.00,100.00,100.00,ER,0.00,0.00,0.00,Battery/Storage,,Mustang 138kV Substation,5/29/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-025,,DISIS-2018-001,02 NEBRASKA,Washington ,NE,OPPD,10/15/2023,11/30/2028,,,200.00,200.00,200.00,ER,0.00,0.00,0.00,Battery/Storage,,Fort Calhoun 345kV Substation,5/29/2018,,IA FULLY EXECUTED/ON SUSPENSION,,,
GEN-2018-024,,DISIS-2018-001,04 SOUTHEAST,Muskogee,OK,OGE,10/15/2023,12/31/2028,,,100.00,100.00,100.00,ER,0.00,0.00,0.00,Battery/Storage,,Canadian River-Muskogee and Muskogee-Seminole 345kV,5/28/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-015,,DISIS-2018-001,05 SOUTHWEST,Paducah,TX,SPS,10/31/2021,11/1/2027,,,252.00,252.00,252.00,ER/NR,0.00,0.00,0.00,Solar,,Tuco-Oklaunion 345kV Line,4/27/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-011,,DISIS-2018-001,04 SOUTHEAST,Kingfisher,OK,WFEC,12/1/2020,12/31/2027,,,74.10,74.10,74.10,ER/NR,0.00,0.00,0.00,Battery/Storage,,Dover 138 kV Switching Station,4/27/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-009,,DISIS-2018-001,03 CENTRAL,Seward/Meade,KS,SUNC,7/15/2025,10/31/2030,,,150.00,150.00,150.00,ER,0.00,0.00,0.00,Wind,,Cimarron 115kV Substation,4/27/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-004,,DISIS-2018-001,05 SOUTHWEST,Lea,NM,SPS,12/31/2019,3/1/2027,,,74.99,74.99,74.99,ER,0.00,0.00,0.00,Solar,,T14 Circuit 115kV line,4/26/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2018-003,,DISIS-2018-001,04 SOUTHEAST,Bowie,TX,AEP,12/31/2021,6/1/2027,,,150.00,150.00,150.00,ER/NR,0.00,0.00,0.00,Solar,,North Boston-Bann 138kV Line,4/25/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-239,IFS-2017-002-76,DISIS-2017-002,05 SOUTHWEST,Yoakum,TX,SPS,6/1/2023,5/1/2026,,,300.00,300.00,300.00,ER,0.00,0.00,0.00,Solar,,Mahoney 230kV Substation,11/30/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-234,IFS-2017-002-73,DISIS-2017-002,02 NEBRASKA,Greeley,NE,NPPD,12/31/2019,7/1/2028,,,115.00,115.00,115.00,ER,0.00,0.00,0.00,Wind,,Spalding to North Loup 115kV,11/6/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-233,IFS-2017-002-72,DISIS-2017-002,04 SOUTHEAST,Grady,OK,OGE,12/1/2020,12/31/2027,,,215.00,215.00,215.00,ER/NR,0.00,0.00,0.00,Wind,,Minco 345kV,11/28/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-232,IFS-2017-002-71,DISIS-2017-002,04 SOUTHEAST,Bryan County,OK,OGE,6/1/2020,3/24/2026,,,52.20,52.20,52.20,ER/NR,0.00,0.00,0.00,Solar,,Brown 138kV Substation,11/28/2017,,IA FULLY EXECUTED/COMMERCIAL OPERATION,,,
GEN-2017-231,IFS-2017-002-70,DISIS-2017-002,04 SOUTHEAST,Franklin County,AR,OGE,6/1/2020,9/1/2027,,,72.50,72.50,72.50,ER/NR,0.00,0.00,0.00,Solar,,Branch 161kV Substation,11/28/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-230,IFS-2017-002-69,DISIS-2017-002,04 SOUTHEAST,Lincoln County,OK,OGE,6/1/2020,12/1/2027,,,72.50,72.50,72.50,ER/NR,0.00,0.00,0.00,Solar,,Tryon 138kV Substation,11/28/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-227,IFS-2017-002-67,DISIS-2017-002,03 CENTRAL,Sedwick County,KS,WERE,12/31/2020,5/15/2030,,,201.60,201.60,201.60,ER/NR,0.00,0.00,0.00,Battery/Storage,,Gordon Evans 138kV Substation,11/30/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-226,IFS-2017-002-66,DISIS-2017-002,03 CENTRAL,Sedgwick County,KS,WERE,12/1/2020,5/15/2030,,,201.60,201.60,201.60,ER/NR,0.00,0.00,0.00,Solar,,Gordon Evans 138kV Substation,11/30/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-222,IFS-2017-002-64,DISIS-2017-002,01 NORTH,Denison,IA,WAPA,10/6/2020,10/15/2027,,,180.00,180.00,180.00,ER,0.00,0.00,0.00,Wind,,Denison 230kV Substation,11/30/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-221,IFS-2017-002-63,DISIS-2017-002,03 CENTRAL,Sedgwick,KS,WERE,12/31/2020,12/31/2026,,,152.00,152.00,152.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,Buffalo Flats 345kV Substation,11/30/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-220,IFS-2017-002-62,DISIS-2017-002,03 CENTRAL,Sedgwick,KS,WERE,12/1/2020,12/31/2026,,,201.60,201.60,201.60,ER/NR,0.00,0.00,0.00,Solar,,Buffalo Flats 345kV Substation,11/30/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-215,IFS-2017-002-60,DISIS-2017-002,01 NORTH,Ward,ND,BEPC,12/1/2020,12/31/2030,,,100.00,100.00,100.00,ER/NR,0.00,0.00,0.00,Wind,,Logan 230kV Substation,11/30/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-214,IFS-2017-002-59,DISIS-2017-002,01 NORTH,Ward,ND,BEPC,12/1/2020,12/31/2030,,,100.00,100.00,100.00,ER/NR,0.00,0.00,0.00,Wind,,Logan 230kV Substation,11/30/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-201,IFS-2017-002-53,DISIS-2017-002,02 NEBRASKA,Wayne County,NE,NPPD,12/1/2022,12/31/2028,,,250.00,250.00,250.00,ER/NR,0.00,0.00,0.00,Wind,,Hoskins 345kV Substation,11/30/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-198,IFS-2017-002-50,DISIS-2017-002,02 NEBRASKA,Omaha,NE,OPPD,12/1/2022,2/28/2027,,,11.64,11.64,11.64,ER,0.00,0.00,0.00,Battery/Storage,,Jones St. No 1201 69kV substation,11/30/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-196,IFS-2017-002-49,DISIS-2017-002,03 CENTRAL,Johnson,KS,KCPL,12/1/2020,12/1/2030,,,128.00,128.00,128.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,West Gardner 345kV,11/30/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-195,IFS-2017-002-48,DISIS-2017-002,03 CENTRAL,Johnson,KS,KCPL,12/1/2020,12/1/2030,,,500.40,500.40,500.40,ER/NR,0.00,0.00,0.00,Solar,,West Gardner 345kV,11/30/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-188,IFS-2017-002-44,DISIS-2017-002,03 CENTRAL,Barry,MO,EDE,12/31/2020,6/15/2026,,,130.00,130.00,130.00,ER,0.00,0.00,0.00,Solar,,Asbury 161 kV,11/30/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-187,IFS-2017-002-43,DISIS-2017-002,05 SOUTHWEST,Terry,TX,SPS,12/31/2020,11/20/2026,,,150.00,150.00,150.00,ER,0.00,0.00,0.00,Solar,,Flatland 115 kV Substation,11/30/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-184,IFS-2017-002-42,DISIS-2017-002,03 CENTRAL,Hodgeman/Ford,KS,KCPL,12/1/2021,1/15/2029,,,400.00,400.00,400.00,ER/NR,0.00,0.00,0.00,Solar,,Nashua-St. Joe 345kV,11/29/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-183,IFS-2017-002-41,DISIS-2017-002,03 CENTRAL,Hodgeman/Ford,KS,KCPL,12/1/2021,1/15/2029,,,400.00,400.00,400.00,ER/NR,0.00,0.00,0.00,Wind,,Nashua-St. Joe 345kV,11/29/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-182,IFS-2017-002-40,DISIS-2017-002,02 NEBRASKA,Lancaster,NE,NPPD,12/1/2020,7/1/2028,,,128.00,128.00,128.00,ER/NR,0.00,0.00,0.00,Wind,,Tobias 345kV Substation,11/29/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-181,IFS-2017-002-39,DISIS-2017-002,02 NEBRASKA,Lancaster,NE,NPPD,12/1/2020,7/1/2028,,,300.00,300.00,300.00,ER/NR,0.00,0.00,0.00,Wind,,Tobias 345kV Substation,11/29/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-178,IFS-2017-002-37,DISIS-2017-002,04 SOUTHEAST,Garfield,OK,OGE,12/31/2020,12/2/2025,,,52.00,52.00,52.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,Woodring 345kV Substation,11/29/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-175,IFS-2017-002-36,DISIS-2017-002,01 NORTH,Turner,SD,WAPA,9/30/2023,12/31/2030,,,270.00,270.00,270.00,ER,0.00,0.00,0.00,Wind,,Vfodnes-Utica Jct. 230kV,11/29/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-173,IFS-2017-002-35,DISIS-2017-002,04 SOUTHEAST,Stephen,OK,AEP,12/1/2020,12/31/2027,,,50.00,50.00,50.00,ER/NR,0.00,0.00,0.00,Solar,,Lawton Eastside - Terry Road 345kV,11/29/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-172,IFS-2017-002-34,DISIS-2017-002,04 SOUTHEAST,Stephen,OK,AEP,12/1/2020,12/31/2027,,,50.00,50.00,50.00,ER/NR,0.00,0.00,0.00,Solar,,Lawton Eastside - Terry Road 345kV,11/29/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-171,IFS-2017-002-33,DISIS-2017-002,04 SOUTHEAST,Stephen,OK,AEP,12/1/2020,12/31/2027,,,150.00,150.00,150.00,ER/NR,0.00,0.00,0.00,Solar,,Lawton Eastside - Terry Road 345kV,11/29/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-164,IFS-2017-002-28,DISIS-2017-002,04 SOUTHEAST,Garfield,OK,OGE,12/1/2020,12/2/2025,,,250.00,250.00,250.00,ER/NR,0.00,0.00,0.00,Solar,,Woodring 345kV Substation,11/29/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-158,IFS-2017-002-27,DISIS-2017-002,05 SOUTHWEST,Parmer/Castro,TX,SPS,12/31/2020,8/30/2026,,,265.00,265.00,265.00,ER,0.00,0.00,0.00,Wind,,Tolk 230kV Substation,11/29/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-151,IFS-2017-002-23,DISIS-2017-002,05 SOUTHWEST,Crosby,TX,SPS,10/31/2020,10/15/2026,,,300.00,300.00,300.00,ER,0.00,0.00,0.00,Wind,,TUCO-Oklaunion 345kV,11/28/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-150,IFS-2017-002-22,DISIS-2017-002,04 SOUTHEAST,Grady,OK,OGE,12/1/2020,12/31/2026,,,250.00,250.00,250.00,ER/NR,0.00,0.00,0.00,Solar,,Minco 345kV,11/28/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-149,IFS-2017-002-21,DISIS-2017-002,04 SOUTHEAST,Johnston,OK,OGE,12/1/2020,12/31/2027,,,258.00,258.00,258.00,ER/NR,0.00,0.00,0.00,Wind,,Johnson County 345kV Substation,11/27/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-146,IFS-2017-002-19,DISIS-2017-002,05 SOUTHWEST,Castro,TX,SPS,10/31/2020,10/15/2026,,,151.80,151.80,151.80,ER,0.00,0.00,0.00,Wind,,Deaf Smith-Plant X 230kV,11/27/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-144,IFS-2017-002-18,DISIS-2017-002,02 NEBRASKA,"Holt, Antelope, Wheeler",NE,NPPD,12/31/2021,12/31/2028,,,200.00,200.00,200.00,ER,0.00,0.00,0.00,Wind,,Holt County 345kV,11/27/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-141,IFS-2017-002-17,DISIS-2017-002,04 SOUTHEAST,Wagoner,OK,AEP,12/1/2020,12/31/2028,,,241.70,241.70,241.70,ER/NR,0.00,0.00,0.00,Solar,,Clarksville 345kV Switching Station,11/22/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-140,IFS-2017-002-16,DISIS-2017-002,04 SOUTHEAST,Wagoner,OK,AEP,12/1/2020,12/31/2028,,,160.00,160.00,160.00,ER/NR,0.00,0.00,0.00,Solar,,Clarksville 345kV Switching Station,11/22/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-137,IFS-2017-002-15,DISIS-2017-002,04 SOUTHEAST,Oklahoma,OK,OGE,12/1/2020,6/30/2030,,,295.00,295.00,295.00,ER/NR,0.00,0.00,0.00,Wind,,Arcadia 345kV,11/22/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-134,IFS-2017-002-14,DISIS-2017-002,04 SOUTHEAST,Oklahoma,OK,OGE,12/1/2020,6/30/2030,,,250.00,250.00,250.00,ER/NR,0.00,0.00,0.00,Wind,,Arcadia 345kV,11/22/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-133,IFS-2017-002-13,DISIS-2017-002,04 SOUTHEAST,Oklahoma,OK,OGE,12/1/2020,6/30/2030,,,200.00,200.00,200.00,ER/NR,0.00,0.00,0.00,Wind,,Arcadia 345kV,11/22/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-121,IFS-2017-002-08,DISIS-2017-002,03 CENTRAL,Sumner,KS,WERE,12/1/2021,12/1/2026,,,200.00,200.00,200.00,ER/NR,0.00,0.00,0.00,Wind,,Sumner 138kV,11/17/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2017-117,IFS-2017-002-05,DISIS-2017-002,04 SOUTHEAST,Canadian,OK,WFEC,12/1/2020,7/31/2029,,,19.80,19.80,19.80,ER/NR,0.00,0.00,0.00,Battery/Storage,,El Reno SW 138kV,11/17/2017,,IA FULLY EXECUTED/ON SUSPENSION,,,
