Project ID,Cycle,Stage,Name,Commercial Name,Developer,State,County,Status,Project Type,Transmission Owner,MFO,MW Energy,MW Capacity,MW In Service,Capacity or Energy,Fuel,Submitted Date,Requested In-Service Date,Actual In-Service Date,Commercial Operation Milestone,Backfeed Date,Test Energy Date,Last Updated,Withdrawn Date,Withdrawn Remarks,Phase 1 SIS Report,Phase 1 SIS Report Status,Phase 2 SIS Report,Phase 2 SIS Report Status,Phase 3 SIS Report,Phase 3 SIS Report Status,Final SIS Report,Final SIS Report Status,EPA/GIA/WMPA Report,EPA/GIA/WMPA Report Status,CSA/USCA Report,CSA/USCA Report Status,Transmission Type,Rights (MW),TSR ID,TSR Start Date,TSR End Date,LTF MW
AH1-328,TC2,PHASE 2,Blue Jacket - Kirby 138 kV,,Fountain Point Solar Energy LLC,OH,Logan,Active,Generation Interconnection,Dayton,206.55,0.00,21.30,,Capacity,Solar,9/10/2021,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-328/AH1-328_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-328/AH1-328_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-320,TC2,PHASE 1,Blue Jacket - Kirby 138 kV,,Invenergy Storage Development LLC,OH,Logan,Withdrawn,Generation Interconnection,Dayton,275.55,69.00,69.00,,Capacity,Storage,9/10/2021,12/31/2025,,,,,10/31/2025,7/3/2025,Customer Initiated Withdrawal,,Not Specified,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG1-323,TC1,PHASE 3,Blue Jacket 138 kV,Bellefontaine PV and BESS Project,Hodson GreenDefine Blue Jacket LLC,OH,Logan,Withdrawn,Generation Interconnection,Dayton,40.00,40.00,40.00,,Capacity,"Solar,Storage,Hybrid",9/30/2020,9/1/2023,,,,,11/4/2025,11/3/2025,Customer Initiated Withdrawal,,Not Applicable,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_2/AG1-323/AG1-323_imp_PHASE_2.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_3/AG1-323/AG1-323_imp_PHASE_3.htm,Posted,,Not Started,,Not Started,,Not Started,,,,,,
AF1-270,TC1,PHASE 2,Blue Jacket-Kirby 138 kV,,Fountain Point Solar Energy LLC,OH,Logan,Withdrawn,Generation Interconnection,Dayton,279.50,50.00,50.00,,Capacity,Solar,9/30/2019,12/31/2022,,,,,12/20/2024,6/21/2024,Customer Milestone Not Met,,Not Applicable,,Not Specified,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG1-199,TC1,PHASE 1,Allen Junction 345 kV,,Occasio Power Management LLC,OH,Lucas,Withdrawn,Generation Interconnection,ATSI,300.00,300.00,300.00,,Capacity,Storage,9/18/2020,6/1/2023,,,,,6/24/2024,6/21/2024,Customer Milestone Not Met,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AG1-199/AG1-199_imp_PHASE_1.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-515,TC2,Decision Point 1,Midway 345 kV III,,"Starling Solar Project, LLC",OH,Lucas,Withdrawn,Generation Interconnection,ATSI,100.00,100.00,60.00,0.00,CAPACITY_RESOURCE,Solar,3/31/2021,7/31/2029,,,,,11/19/2025,11/28/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AG2-515/AG2-515_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AH1-690,TC2,Decision Point 1,Bay Shore - Lallendorf 345 kV,,"CPV Oregon, LLC",OH,Lucas,Withdrawn,Generation Interconnection,ATSI,1475.00,1475.00,1440.00,0.00,CAPACITY_RESOURCE,Natural Gas,4/3/2025,3/1/2031,,,,,10/23/2025,11/18/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-690/AH1-690_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AG2-104,TC2,PHASE 2,Marysville-Flatlick 765 kV,,"Oak Run Solar Project, LLC",OH,Madison,Active,Generation Interconnection,AEP,200.00,200.00,126.85,,Capacity,Solar,1/29/2021,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AG2-104/AG2-104_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AG2-104/AG2-104_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-106,TC2,PHASE 2,Marysville-Flatlick 765 kV,,"Oak Run Solar Project, LLC",OH,Madison,Active,Generation Interconnection,AEP,800.00,0.00,150.00,,Capacity,Storage,1/29/2021,9/30/2029,,,,,6/2/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AG2-106/AG2-106_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AG2-106/AG2-106_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-107,TC2,PHASE 2,Marysville-Flatlick 765 kV,,"Oak Run Solar Project, LLC",OH,Madison,Active,Generation Interconnection,AEP,800.00,0.00,150.00,,Capacity,Storage,1/29/2021,9/30/2029,,,,,6/2/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AG2-107/AG2-107_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AG2-107/AG2-107_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
