Project ID,ISO,Queue Date,Status,Withdrawn Date,Proposed Date,Study Cycle,Study Phase,POI Name,Transmission Owner,MW Capacity,Fuel Type
AG1-342,PJM,2020-09-30,Done,,2030-05-31,TC1,FINAL AGREEMENT,Dryburg 115 kV,Dominion,21.60,Solar
AF2-297,PJM,2020-03-28,Withdrawn,2025-11-03,2022-03-12,TC1,PHASE 3,Sedge Hill 115 kV,Dominion,48.00,Solar
AF2-042,PJM,2019-12-09,Done,,2032-12-31,TC1,FINAL AGREEMENT,Clover-Rawlings 500 kV,Dominion,300.00,Solar
AH1-343,PJM,2021-09-10,Active,,,TC2,PHASE 2,Crystal Hill DP- Perth 115kV,Dominion,41.40,Solar
AH1-092,PJM,2021-07-30,Withdrawn,2025-05-07,2025-06-01,TC2,PHASE 1,SedgeHill - Person 230 kV,Dominion,54.00,Hybrid
AH1-679,PJM,2025-04-11,Active,,2026-05-31,TC2,PHASE 2,Four Rivers 230 kV,Dominion,20.00,Thermal
AH1-558,PJM,2021-09-10,Withdrawn,2025-06-26,2025-06-01,TC2,PHASE 1,Four Rivers 230kV,Dominion,250.00,Storage
AF2-035,PJM,2019-11-27,Withdrawn,2025-11-03,2023-10-27,TC1,PHASE 3,St. Johns 115 kV,Dominion,48.00,Solar
AG2-193,PJM,2021-02-27,Active,,,TC2,PHASE 2,Turner 34.5 kV,Dominion,12.00,Solar
AG1-531,PJM,2020-09-30,Withdrawn,2024-06-24,2023-12-12,TC1,PHASE 1,Poolesville-Winchester 230 kV,Dominion,32.40,Solar
AH1-216,PJM,2021-09-08,Active,,,TC2,PHASE 2,Smithfield-Surry 230 kV,Dominion,79.20,Hybrid
AH1-185,PJM,2021-08-31,Withdrawn,2025-02-25,2022-12-31,TC2,APPLICATION REVIEW,Benn's Church - Smithfield 34.5 kV,Dominion,12.00,Solar
AH1-716,PJM,2025-04-10,Active,,,TC2,PHASE 2,Surry-Skiffes Creek 500kV,Dominion,650.00,Storage
AH1-726,PJM,,Withdrawn,2025-07-03,2029-06-11,TC2,PHASE 1,Surry-Skiffes Creek 500kV,Dominion,600.00,Storage
AG2-124,PJM,2021-01-29,Active,,,TC2,PHASE 2,Shackleford-Harmony 115 kV,Dominion,33.34,Solar
AG2-607,PJM,2021-03-31,Withdrawn,2025-07-03,2023-11-01,TC2,PHASE 1,St. Johns - Dunbrook 34.5 kV,Dominion,12.74,Solar
AG1-019,PJM,2020-05-20,Withdrawn,2024-06-24,2023-10-31,TC1,PHASE 1,Arnold's Corner-Dahlgren 230 kV,Dominion,100.00,Storage
AG1-134,PJM,2020-09-02,Withdrawn,2024-06-24,2024-12-01,TC1,PHASE 1,Kings Dominion DP 115 kV,Dominion,60.00,Solar
AG1-146,PJM,2020-09-09,Withdrawn,2025-11-03,2024-12-01,TC1,PHASE 3,Garner DP-Lancaster 115 kV,Dominion,18.00,Solar
AG1-147,PJM,2020-09-09,Withdrawn,2025-11-03,2024-12-01,TC1,PHASE 3,Garner DP-Lancaster 115 kV,Dominion,42.00,Solar
AG2-005,PJM,2020-10-02,Withdrawn,2025-12-02,2029-12-31,TC2,Decision Point 1,Garner-Lancaster 115 kV,Dominion,8.40,Solar
AG2-215,PJM,2021-03-09,Withdrawn,2025-12-02,2027-12-31,TC2,Decision Point 1,Garner DP-Lancaster 115 kV,Dominion,36.92,Solar
AG2-366,PJM,2021-03-26,Withdrawn,2025-11-06,2029-12-31,TC2,Decision Point 1,Garner Delivery Point - Lancaster 115 kV,Dominion,20.00,Storage
AH1-223,PJM,2021-09-08,Active,,,TC2,PHASE 2,Poland Rd-Runway DP 230 kV,Dominion,20.00,Storage
AH1-727,PJM,2025-04-10,Active,,,TC2,PHASE 2,Brambleton-Goose Creek 500kV,Dominion,425.00,Storage
AH1-729,PJM,2025-04-08,Withdrawn,2025-12-02,2028-05-26,TC2,Decision Point 1,Ocean Court 230 kV,Dominion,100.00,Storage
AH1-012,PJM,2021-04-19,Withdrawn,2025-12-03,2027-12-31,TC2,Decision Point 1,Louisa - North Anna 230 kV,Dominion,20.00,Storage
AG2-208,PJM,2021-03-05,Withdrawn,2025-12-02,2030-12-31,TC2,Decision Point 1,Greenwood DP - St. Johns DP 115 kV,Dominion,44.47,Solar
AG1-305,PJM,2020-09-29,Withdrawn,2025-01-22,2022-07-01,TC1,PHASE 2,Louisa-North Anna 230 kV,Dominion,37.80,Solar
