Project ID,Name,ISO,Status,Queue Date,Withdrawn Date,County,State,Zone,MW Capacity,Fuel Type,Proposed Date
1261,Battery Storage Addition (to QP1086),ISONE,Active,2022-05-17,,Knox,ME,ME,160.00,Hybrid,2028-03-31
1262,Battery Storage,ISONE,Withdrawn,2022-05-17,2024-08-29,Middlesex,CT,CT,80.88,Storage,2026-07-06
1264,Bear Swamp Pump Load increase,ISONE,Done,2022-05-19,,Berkshire,MA,WMA,333.00,Hydro,2023-01-06
1265,Revolution Offshore Wind CNR only,ISONE,Active,2022-05-23,,,RI,RI,750.75,Wind,2026-11-05
1266,Battery Storage,ISONE,Withdrawn,2022-05-23,2024-08-28,Hartford,CT,CT,100.00,Storage,2025-08-04
1267,Battery Storage,ISONE,Withdrawn,2022-05-20,2022-06-24,New London,CT,CT,51.73,Storage,2025-08-08
1268,Coolidge Solar CNR Only,ISONE,Done,2022-05-24,,Windsor,VT,VT,19.90,Solar,2018-12-20
1269,Sanford Airport Solar CNR Only,ISONE,Done,2022-05-27,,York,ME,ME,50.00,Solar,2023-08-02
1270,Nutmeg Solar CNR Only,ISONE,Done,2022-05-31,,Hartford,CT,CT,19.90,Solar,2020-12-07
1272,West Springfield 45 MW BESS,ISONE,Active,2022-06-08,,Hampden,MA,WMA,45.00,Storage,2029-05-04
1273,Canton 470 - EMA ASO,ISONE,Withdrawn,2022-06-08,2025-06-13,Norfolk,MA,SEMA,5.00,Hybrid,2023-11-30
1275,Group @ Duxbury 738 - EMA ASO,ISONE,Withdrawn,2022-06-08,2025-06-13,Plymouth,MA,SEMA,6.78,Hybrid,2023-11-30
1279,Group @ Hatchville 936 - EMA ASO,ISONE,Withdrawn,2022-06-08,2025-06-13,Barnstable,MA,SEMA,18.49,Hybrid,2023-11-30
1281,Group @ Industrial Park 636 - EMA ASO,ISONE,Withdrawn,2022-06-08,2025-06-13,Bristol,MA,SEMA,16.51,Hybrid,2023-11-30
