Project ID,ISO,Status,Queue Date,Withdrawn Date,Proposed Date,State,County,Zone,MW Capacity,Fuel Type,Transmission Owner,Service Type,Study Cycle,Study Group,Name,Study Phase,POI Name,Developer,Done Date,POI,Completion Probability,Latitude,Longitude,Screening Started Date,Screening Complete Date,FIS Requested Date,FIS Approved Date,IA Signed Date,Construction Start Date,Construction End Date,Approved Energization Date,Approved Sync Date,Latest Milestone,Latest Milestone Date,Milestones
GI-TC-2024-07,SPP,Active,2023-05-22 00:00:00,,2026-11-01 00:00:00,CO,Cheyenne County,,199.00,Solar,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-06,SPP,Active,2023-05-22 00:00:00,,2027-12-01 00:00:00,WY,Platte County,,150.00,Wind,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-05,SPP,Active,2023-05-22 00:00:00,,2027-12-01 00:00:00,WY,Platte County,,150.00,Wind,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-04,SPP,Active,2023-05-22 00:00:00,,2027-12-01 00:00:00,WY,Platte County,,150.00,Wind,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-03,SPP,Active,2023-05-08 00:00:00,,2029-10-02 00:00:00,WY,Platte/Goshen Counties,,160.00,Solar,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-02,SPP,Active,2024-04-25 00:00:00,,2030-08-02 00:00:00,CO,Lincoln County,,150.00,Hybrid,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-01,SPP,Active,2024-04-25 00:00:00,,2030-08-02 00:00:00,CO,Lincoln County,,150.00,Hybrid,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2021-07,SPP,Done,2021-03-15 00:00:00,,2024-05-01 00:00:00,CO,Delta County,,80.00,Solar,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2021-06,SPP,Done,2021-03-15 00:00:00,,2021-10-29 00:00:00,CO,Logan County,,200.00,Wind,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2021-03,SPP,Done,2021-03-15 00:00:00,,2024-06-14 00:00:00,CO,Dolores County,,110.00,Solar,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2021-01,SPP,Done,2021-03-15 00:00:00,,2024-06-30 00:00:00,CO,Moffat & Rio Blanco Counties,,145.00,Solar,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-SISS-2026-04,SPP,Active,2026-02-09 00:00:00,,2028-01-03 00:00:00,CO,"Kit Carson County,",,150.00,Storage,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-SISS-2026-03,SPP,Active,2026-02-09 00:00:00,,2028-01-03 00:00:00,CO,"Kit Carson County,",,150.00,Storage,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-SISS-2025-06,SPP,Active,2025-10-02 00:00:00,,,CO,Logan County,,200.00,Storage,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-SISS-2025-05,SPP,Active,2025-08-08 00:00:00,,,CO,Kit Carson County,,150.00,Storage,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-SISS-2025-04,SPP,Active,2025-07-25 00:00:00,,2027-09-30 00:00:00,CO,Kit Carson County,,79.00,Storage,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-RSC-2025-03,SPP,Active,2025-07-18 00:00:00,,,CO,Montrose County,,50.00,Storage,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-RSC-2025-02,SPP,Active,2025-07-18 00:00:00,,,CO,Moffat County,,200.00,Storage,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-DISIS-2022-44,SPP,Active,2022-05-31 00:00:00,,2030-06-25 00:00:00,CO,Moffat County,,199.00,Hybrid,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-DISIS-2022-41,SPP,Active,2022-05-31 00:00:00,,2028-12-30 00:00:00,CO,Kit Carson County,,49.60,Wind,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-DISIS-2022-29,SPP,Done,2022-05-31 00:00:00,,2029-03-16 00:00:00,CO,Lincoln County,,199.90,Wind,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-DISIS-2022-28,SPP,Active,2022-05-31 00:00:00,,2029-12-31 00:00:00,CO,Kit Carson County,,199.00,Hybrid,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
