Project ID,ISO,Status,Queue Date,Proposed Date,Transmission Owner,Service Type,County,State,Study Cycle,Study Group,MW Capacity,Fuel Type
GEN-2026-SR5,SPP,Active,2026-01-20,,WERE,ERIS/NRIS,Wellington,KS,Surplus,03 CENTRAL,200.00,Storage
GEN-2026-SR4,SPP,Active,2025-11-17,,OG&E,ERIS,Oktaha,OK,Surplus,04 SOUTHEAST,400.00,Storage
GEN-2026-SR3,SPP,Active,2026-01-14,,AEP,ERIS,Sayre,OK,Surplus,04 SOUTHEAST,100.00,Storage
GEN-2026-SR22,SPP,Active,2026-05-04,,WERE,ERIS,Oxford,KS,Surplus,04 SOUTHEAST,150.00,Storage
GEN-2026-SR21,SPP,Active,2026-05-28,,AEP,ERIS,South Coffeyville,OK,Surplus,04 SOUTHEAST,148.00,Storage
GEN-2026-SR20,SPP,Active,2026-03-26,,LES,ERIS/NRIS,Lincoln,NE,Surplus,02 NEBRASKA,225.00,Storage
GEN-2026-SR2,SPP,Active,2025-12-19,,SUNC,ERIS,Cimmaron,KS,Surplus,03 CENTRAL,165.60,Storage
GEN-2026-SR19,SPP,Active,2026-03-30,,AEP,ERIS/NRIS,Duncan,OK,Surplus,04 SOUTHEAST,200.00,Storage
GEN-2026-SR18,SPP,Active,2026-03-06,,EDE,ERIS/NRIS,Sarcoxie,MO,Surplus,03 CENTRAL,150.00,Storage
GEN-2026-SR17,SPP,Active,2026-03-16,,NEETS,NRIS,Savonburg,KS,Surplus,03 CENTRAL,204.30,Storage
GEN-2026-SR16,SPP,Active,2026-02-16,,WERE,ERIS,McPherson,KS,Surplus,03 CENTRAL,300.00,Storage
GEN-2026-SR15,SPP,Active,2026-01-19,,OGE,ERIS,Balko,OK,Surplus,05 SOUTHWEST,200.00,Storage
GEN-2026-SR14,SPP,Active,2026-01-16,,SPS,ERIS/NRIS,Panhandle,TX,Surplus,05 SOUTHWEST,158.00,Storage
GEN-2026-SR13,SPP,Active,2026-01-17,,SPS,ERIS,Gruver,TX,Surplus,05 SOUTHWEST,208.00,Storage
GEN-2026-SR12,SPP,Active,2026-01-18,,SPS,ERIS/NRIS,Balko,OK,Surplus,05 SOUTHWEST,100.00,Storage
GEN-2026-SR11,SPP,Active,2026-01-26,,OGE,ERIS/NRIS,Mill Creek,OK,Surplus,04 SOUTHEAST,258.00,Storage
GEN-2026-SR10,SPP,Active,2026-01-14,,SPS,ERIS,Spearman,TX,Surplus,05 SOUTHWEST,457.00,Storage
GEN-2026-SR1,SPP,Active,2025-11-07,,WERE,ERIS/NRIS,Garden Plain,KS,Surplus,03 CENTRAL,100.00,Storage
GEN-2026-PR9,SPP,Active,2026-02-28,,SPS,ERIS,Crosby County,TX,Priority Process,05 SOUTHWEST,15.99,Wind
GEN-2026-PR7,SPP,Active,2026-02-28,,MIDW,ERIS,Brownell County,KS,Priority Process,03 CENTRAL,39.76,Wind
GEN-2026-PR6,SPP,Active,2026-01-08,,OG&E,ERIS,Goltry,OK,Priority Process,04 SOUTHEAST,49.72,Wind
GEN-2026-PR5,SPP,Active,2026-01-07,,OG&E,ERIS,Goultry,OK,Priority Process,04 SOUTHEAST,60.40,Storage
GEN-2026-PR4,SPP,Active,2025-12-19,,SPS,ERIS,Spearman,TX,Priority Process,05 SOUTHWEST,131.56,Storage
GEN-2026-PR2,SPP,Active,2025-12-01,,OG&E,ERIS,Dewey County,OK,Priority Process,04 SOUTHEAST,41.89,Wind
GEN-2026-PR18,SPP,Active,2026-05-07,,SPS,ERIS,Lea County,NM,Priority Process,05 SOUTHWEST,30.00,Thermal
GEN-2026-PR17,SPP,Active,2026-02-28,,OGE,ERIS,Grady County,OK,Priority Process,04 SOUTHEAST,40.50,Storage
GEN-2026-PR16,SPP,Active,2026-02-28,,SPS,ERIS,Carson County,TX,Priority Process,05 SOUTHWEST,31.82,Wind
GEN-2026-PR15,SPP,Active,2026-02-28,,AEP,ERIS,Custer County,OK,Priority Process,04 SOUTHEAST,31.36,Wind
GEN-2026-PR14,SPP,Active,2026-02-28,,OGE,ERIS,Pawnee County,OK,Priority Process,04 SOUTHEAST,43.99,Storage
GEN-2026-PR13,SPP,Active,2026-02-28,,OGE,ERIS,Hinton County,OK,Priority Process,04 SOUTHEAST,25.96,Wind
GEN-2026-PR12,SPP,Active,2026-02-28,,OGE,ERIS,Kay County,OK,Priority Process,04 SOUTHEAST,11.96,Wind
GEN-2026-PR11,SPP,Active,2026-02-28,,SPS,ERIS,Cochran County,TX,Priority Process,05 SOUTHWEST,30.00,Wind
GEN-2026-PR1,SPP,Active,2025-12-01,,OG&E,ERIS,Garfield County,TX,Priority Process,05 SOUTHWEST,52.63,Wind
GEN-2025-SR9,SPP,Active,2025-05-31,,OG&E,ERIS,Fort Gibson,OK,Surplus,04 SOUTHEAST,400.00,Thermal
GEN-2025-SR8,SPP,Done,2025-05-30,,OG&E,ERIS,Morrison,OK,Surplus,04 SOUTHEAST,219.96,Storage
GEN-2025-SR7,SPP,Active,2025-05-30,,SPS,ERIS/NRIS,Fort Gibson,OK,Surplus,05 SOUTHWEST,102.00,Storage
GEN-2025-SR6,SPP,Active,2025-06-04,,OG&E,ERIS/NRIS,Minco,OK,Surplus,04 SOUTHEAST,200.00,Storage
GEN-2025-SR5,SPP,Active,2025-05-22,,NPPD,ERIS/NRIS,Hallam,NE,Surplus,02 NEBRASKA,40.00,Storage
GEN-2025-SR4,SPP,Active,2025-08-18,,SUNC,ERIS/NRIS,Kinsley,KS,Surplus,03 CENTRAL,150.00,Storage
GEN-2025-SR32,SPP,Active,2025-10-20,,SPS,ERIS,Roswell,NM,Surplus,05 SOUTHWEST,50.00,Storage
GEN-2025-SR31,SPP,Active,2025-11-07,,NPPD,ERIS,Meadow Grove,NE,Surplus,02 NEBRASKA,170.00,Storage
GEN-2025-SR30,SPP,Active,2025-08-22,,OG&E,ERIS,Oakwood,OK,Surplus,04 SOUTHEAST,209.00,Storage
GEN-2025-SR3,SPP,Done,2025-08-18,,ITCGP,ERIS/NRIS,Minneola,KS,Surplus,03 CENTRAL,150.00,Storage
GEN-2025-SR29,SPP,Active,2025-08-18,,SPS,ERIS,Hobbs,NM,Surplus,05 SOUTHWEST,74.99,Storage
GEN-2025-SR28,SPP,Active,2025-08-18,,OG&E,ERIS,Balko,OK,Surplus,05 SOUTHWEST,263.13,Storage
GEN-2025-SR27,SPP,Active,2025-07-01,,SPS,ERIS,Roswell,NM,Surplus,05 SOUTHWEST,50.00,Storage
GEN-2025-SR26,SPP,Active,2025-06-12,,OPPD,ERIS,Plattsmouth,NE,Surplus,02 NEBRASKA,200.00,Thermal
GEN-2025-SR25,SPP,Active,2025-06-12,,AEP,ERIS,Sperry,OK,Surplus,04 SOUTHEAST,200.00,Thermal
GEN-2025-SR24,SPP,Active,2025-06-12,,OPPD,ERIS,Blair,NE,Surplus,02 NEBRASKA,200.00,Thermal
GEN-2025-SR23,SPP,Done,2025-06-12,,OG&E,ERIS/NRIS,Oklahoma City,OK,Surplus,04 SOUTHEAST,100.00,Thermal
GEN-2025-SR22,SPP,Done,2025-06-12,,OG&E,ERIS,Harrah,OK,Surplus,04 SOUTHEAST,100.00,Thermal
GEN-2025-SR21,SPP,Active,2025-06-12,,AEP,ERIS,Tulsa,OK,Surplus,04 SOUTHEAST,100.00,Thermal
GEN-2025-SR20,SPP,Active,2025-06-12,,OPPD,ERIS,Omaha,NE,Surplus,02 NEBRASKA,100.00,Thermal
GEN-2025-SR2,SPP,Active,2025-05-05,,SPS,ERIS,Hansford County,TX,Surplus,05 SOUTHWEST,67.20,Wind
GEN-2025-SR19,SPP,Done,2025-06-12,,GRDA,ERIS,Chouteau,OK,Surplus,04 SOUTHEAST,100.00,Thermal
GEN-2025-SR18,SPP,Active,2025-06-12,,INDN,ERIS,Indepedence,MO,Surplus,03 CENTRAL,50.00,Thermal
GEN-2025-SR17,SPP,Active,2025-06-06,,AEP,ERIS/NRIS,Duncan,OK,Surplus,04 SOUTHEAST,200.00,Storage
