Project ID,ISO,Queue Date,Status,County,State,POI Name,MW Capacity,Fuel Type,Proposed Date,Transmission Owner,Study Cycle,Study Group,Service Type,Done Date
J3871,MISO,2024-12-19 05:00:00+00:00,Withdrawn,St. Charles,LA,WATERFORD 500 SS,735.00,Thermal,2028-11-30 05:00:00+00:00,"ENTERGY LOUISIANA, LLC",DPP-2025,South,NRIS,
J3873,MISO,2024-12-19 05:00:00+00:00,Active,Gibson,IN,Owensville Primary,200.00,Storage,2029-06-01 04:00:00+00:00,HOOSIER ENERGY,DPP-2025,Central,NRIS,
J3521,MISO,2024-04-18 04:00:00+00:00,Active,Shelby,IL,Neoga,350.00,Wind,2028-09-15 04:00:00+00:00,AMEREN ILLINOIS,DPP-2023,Central,NRIS,
J3723,MISO,2024-04-15 04:00:00+00:00,Active,Wexford,MI,KEYSTONE - LUDINGTON 345.0kV,300.00,Solar,2028-09-01 04:00:00+00:00,METC,DPP-2023,East (ITC),NRIS,
J3722,MISO,2024-03-27 04:00:00+00:00,Active,Hillsdale,MI,COLDWATER - MOORE ROAD 138.0kV,150.00,Solar,2028-09-01 04:00:00+00:00,METC,DPP-2023,East (ITC),NRIS,
J3721,MISO,2024-03-20 04:00:00+00:00,Withdrawn,Spencer,IN,Culley - Dubois 138.0kV,200.00,Solar,2028-09-01 04:00:00+00:00,AMEREN ILLINOIS,DPP-2023,Central,NRIS,
J3527,MISO,2024-04-16 04:00:00+00:00,Withdrawn,Allamakee,IA,Lansing - Postville (DPC) 161kV,136.00,Wind,2027-03-01 05:00:00+00:00,ITC MIDWEST,DPP-2023,West,NRIS,
J3528,MISO,2024-04-15 04:00:00+00:00,Active,Jasper,IL,7CASEY    - 7NEWTON   345.0kV,225.00,Hybrid,2026-12-30 05:00:00+00:00,AMEREN ILLINOIS,DPP-2023,Central,NRIS,
J3529,MISO,2024-05-20 04:00:00+00:00,Active,Mahnomen,MN,Mahnomen - Winger 115.0kV,64.00,Solar,2028-05-30 04:00:00+00:00,OTTER TAIL POWER COMPANY,DPP-2023,West,NRIS,
J3543,MISO,2024-04-18 04:00:00+00:00,Active,Dakota,MN,Chub Lake 115 kV,135.00,Storage,2028-06-30 04:00:00+00:00,GREAT RIVER ENERGY,DPP-2023,West,NRIS,
J3598,MISO,2024-04-17 04:00:00+00:00,Withdrawn,McLean,IL,Other_,9.00,Wind,2028-04-01 04:00:00+00:00,AMEREN ILLINOIS,DPP-2023,Central,NRIS,
J3602,MISO,2024-04-17 04:00:00+00:00,Active,McLean,IL,Other_,110.00,Wind,2028-04-01 04:00:00+00:00,AMEREN ILLINOIS,DPP-2023,Central,NRIS,
J3605,MISO,2024-04-17 04:00:00+00:00,Withdrawn,Liberty,TX,JACINTO,430.00,Thermal,2027-10-15 04:00:00+00:00,"ENTERGY TEXAS, INC.",DPP-2023,South,NRIS,
J3604,MISO,2024-04-18 04:00:00+00:00,Active,Sullivan,IN,Merom (HED) -  Dresser 345.0kV,650.00,Thermal,2027-09-01 04:00:00+00:00,"DUKE ENERGY INDIANA, LLC",DPP-2023,Central,NRIS,
J3599,MISO,2024-04-10 04:00:00+00:00,Withdrawn,Craighead,AR,Lunsford,60.00,Solar,2027-06-01 04:00:00+00:00,ARKANSAS ELECTRIC COOPERATIVE CORPORATION,DPP-2023,South,ERIS,
